Sample	Sex	Organ	From	Population	Dissection	Extraction	Concentration (ng/µL)	Elution Volume (µL)	Remark RNA
F1C	Female	Cirri	Argeles	Mediterranean	14.06.19	13.11.19	0	60	Kit Mini
F1M	Female	Muscles	Argeles	Mediterranean	14.06.19	13.11.19	0	60	Kit Mini
F1P	Female	Pharynx	Argeles	Mediterranean	14.06.19	13.11.19	16	60	Kit Mini
F1GO	Female	Gonads	Argeles	Mediterranean	14.06.19	13.11.19	382	60	Kit Mini
F1G	Female	Gut	Argeles	Mediterranean	14.06.19	13.11.19	148	60	Kit Mini
F2C	Female	Cirri	Argeles	Mediterranean	14.06.19	13.11.19	0	60	Kit Mini
F2M	Female	Muscles	Argeles	Mediterranean	14.06.19	13.11.19	0	60	Kit Mini
F2P	Female	Pharynx	Argeles	Mediterranean	14.06.19	13.11.19	56	60	Kit Mini
F2GO	Female	Gonads	Argeles	Mediterranean	14.06.19	13.11.19	1	60	Kit Mini
F2G	Female	Gut	Argeles	Mediterranean	14.06.19	13.11.19	210	60	Kit Mini
F3P	Female	Pharynx	Argeles	Mediterranean	14.06.19	14.11.19	200	30	Kit Mini
F3GO	Female	Gonads	Argeles	Mediterranean	14.06.19	14.11.19	1758	30	Kit Mini
F3G	Female	Gut	Argeles	Mediterranean	14.06.19	14.11.19	256	30	Kit Mini
F4P	Male	Pharynx	Argeles	Mediterranean	14.06.19	14.11.19	166	30	Kit Mini
F4GO	Male	Gonads	Argeles	Mediterranean	14.06.19	14.11.19	40	30	Kit Mini, gDNA not eliminated correctly
F4G	Male	Gut	Argeles	Mediterranean	14.06.19	14.11.19	828	30	Kit Mini
F5P	Female	Pharynx	Argeles	Mediterranean	14.06.19	14.11.19	210	30	Kit Mini
F5GO	Female	Gonads	Argeles	Mediterranean	14.06.19	14.11.19	2034	30	Kit Mini
F5G	Female	Gut	Argeles	Mediterranean	14.06.19	14.11.19	764	30	Kit Mini
F6P	Female	Pharynx	Argeles	Mediterranean	19.06.19	14.11.19	222	30	Kit Mini
F6GO	Female	Gonads	Argeles	Mediterranean	19.06.19	14.11.19	294	30	Kit Mini
F6G 	Female	Gut	Argeles	Mediterranean	19.06.19	14.11.19	680	30	Kit Mini
F7P	Female	Pharynx	Argeles	Mediterranean	19.06.19	15.11.19	NA	30	Kit Mini
F7GO	Female	Gonads	Argeles	Mediterranean	19.06.19	15.11.19	NA	30	Kit Mini
