projectID	plateID	plateRow	plateCol	sampleID	organism	cell_type	extraction_method	sampleVolume_ul	sampleConcentration_nguL	quantification_method	RIN	comments	platePos	riboGreen_ngul	dilution_RNA_vol	dilution_Water_vol	RT_RNA_volume	RT_RNA_amount_ng	barcode	barcode_version	LibraryName	RunID	LibraryID	SampleID	Specie	Genome	R1len	BU_ptrn
BL	Banyuls	A	1	F1GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	A01	BU3V4	BL_Banyuls							
BL	Banyuls	A	2	F4GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	A02	BU3V4	BL_Banyuls							
BL	Banyuls	A	3	F7P	Branchiostoma lanceolatum	Pharynx	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	A03	BU3V4	BL_Banyuls							
BL	Banyuls	A	4	F9G 	Branchiostoma lanceolatum	Gut	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	A04	BU3V4	BL_Banyuls							
BL	Banyuls	A	5	M3GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	?	55	Quantus fluorometer (Promega) 							10	150	A05	BU3V4	BL_Banyuls							
BL	Banyuls	A	6	M6P	Branchiostoma lanceolatum	Pharynx	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	A06	BU3V4	BL_Banyuls							
BL	Banyuls	A	7	M9P	Branchiostoma lanceolatum	Pharynx	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	A07	BU3V4	BL_Banyuls							
BL	Banyuls	B	1	F1G	Branchiostoma lanceolatum	Gut	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	B01	BU3V4	BL_Banyuls							
BL	Banyuls	B	2	F4G	Branchiostoma lanceolatum	Gut	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	B02	BU3V4	BL_Banyuls							
BL	Banyuls	B	3	F7GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	B03	BU3V4	BL_Banyuls							
BL	Banyuls	B	4	F10P	Branchiostoma lanceolatum	Pharynx	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	B04	BU3V4	BL_Banyuls							
BL	Banyuls	B	5	M3G 	Branchiostoma lanceolatum	Gut	Qiagen kit	?	55	Quantus fluorometer (Promega) 							10	150	B05	BU3V4	BL_Banyuls							
BL	Banyuls	B	6	M6GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	B06	BU3V4	BL_Banyuls							
BL	Banyuls	B	7	M9GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	B07	BU3V4	BL_Banyuls							
BL	Banyuls	C	1	F2P	Branchiostoma lanceolatum	Pharynx	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	C01	BU3V4	BL_Banyuls							
BL	Banyuls	C	2	F5P	Branchiostoma lanceolatum	Pharynx	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	C02	BU3V4	BL_Banyuls							
BL	Banyuls	C	3	F7G 	Branchiostoma lanceolatum	Gut	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	C03	BU3V4	BL_Banyuls							
BL	Banyuls	C	4	F10GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	C04	BU3V4	BL_Banyuls							
BL	Banyuls	C	5	M4P	Branchiostoma lanceolatum	Pharynx	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	C05	BU3V4	BL_Banyuls							
BL	Banyuls	C	6	M6G 	Branchiostoma lanceolatum	Gut	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	C06	BU3V4	BL_Banyuls							
BL	Banyuls	C	7	M9G 	Branchiostoma lanceolatum	Gut	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	C07	BU3V4	BL_Banyuls							
BL	Banyuls	D	1	F2G	Branchiostoma lanceolatum	Gut	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	D01	BU3V4	BL_Banyuls							
BL	Banyuls	D	2	F5GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	D02	BU3V4	BL_Banyuls							
BL	Banyuls	D	3	F8P	Branchiostoma lanceolatum	Pharynx	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	D03	BU3V4	BL_Banyuls							
BL	Banyuls	D	4	F10G 	Branchiostoma lanceolatum	Gut	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	D04	BU3V4	BL_Banyuls							
BL	Banyuls	D	5	M4GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	D05	BU3V4	BL_Banyuls							
BL	Banyuls	D	6	M7GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	D06	BU3V4	BL_Banyuls							
BL	Banyuls	D	7	F9M	Branchiostoma lanceolatum	Muscles	Qiagen kit	10	55	Quantus fluorometer (Promega) 							10	150	D07	BU3V4	BL_Banyuls							
BL	Banyuls	E	1	F3P	Branchiostoma lanceolatum	Pharynx	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	E01	BU3V4	BL_Banyuls							
BL	Banyuls	E	2	F5G	Branchiostoma lanceolatum	Gut	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	E02	BU3V4	BL_Banyuls							
BL	Banyuls	E	3	F8GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	E03	BU3V4	BL_Banyuls							
BL	Banyuls	E	4	M2P	Branchiostoma lanceolatum	Pharynx	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	E04	BU3V4	BL_Banyuls							
BL	Banyuls	E	5	M4G 	Branchiostoma lanceolatum	Gut	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	E05	BU3V4	BL_Banyuls							
BL	Banyuls	E	6	M7G 	Branchiostoma lanceolatum	Gut	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	E06	BU3V4	BL_Banyuls							
BL	Banyuls	E	7	M2M	Branchiostoma lanceolatum	Muscles	Qiagen kit	10	55	Quantus fluorometer (Promega) 							10	150	H12	BU3V4	BL_Banyuls							
BL	Banyuls	F	1	F3GO	Branchiostoma lanceolatum	Gonads	Qiagen kit	20	55	Quantus fluorometer (Promega) 							10	150	F01	BU3V4	BL_Banyuls							
