Sample	Sex	Organ	From	Population	barcode
F1GO	Female	Gonads	Argeles	Mediterranean	A01
F1G	Female	Gut	Argeles	Mediterranean	B01
F2P	Female	Pharynx	Argeles	Mediterranean	C01
F2G	Female	Gut	Argeles	Mediterranean	D01
F3P	Female	Pharynx	Argeles	Mediterranean	E01
F3GO	Female	Gonads	Argeles	Mediterranean	F01
F3G	Female	Gut	Argeles	Mediterranean	G01
F4P	Male	Pharynx	Argeles	Mediterranean	H01
F4GO	Male	Gonads	Argeles	Mediterranean	A02
F4G	Male	Gut	Argeles	Mediterranean	B02
F5P	Female	Pharynx	Argeles	Mediterranean	C02
F5GO	Female	Gonads	Argeles	Mediterranean	D02
F5G	Female	Gut	Argeles	Mediterranean	E02
F6P	Female	Pharynx	Argeles	Mediterranean	F02
F6GO	Female	Gonads	Argeles	Mediterranean	G02
F6G	Female	Gut	Argeles	Mediterranean	H02
F7P	Female	Pharynx	Argeles	Mediterranean	A03
F7GO	Female	Gonads	Argeles	Mediterranean	B03
F7G	Female	Gut	Argeles	Mediterranean	C03
F8P	Female	Pharynx	Argeles	Mediterranean	D03
F8GO	Female	Gonads	Argeles	Mediterranean	E03
F8G	Female	Gut	Argeles	Mediterranean	F03
F9P	Female	Pharynx	Leucate	Mediterranean	G03
F9GO	Female	Gonads	Leucate	Mediterranean	H03
F9G	Female	Gut	Leucate	Mediterranean	A04
F10P	Female	Pharynx	Leucate	Mediterranean	B04
F10GO	Female	Gonads	Leucate	Mediterranean	C04
F10G	Female	Gut	Leucate	Mediterranean	D04
M2P	Male	Pharynx	Argeles	Mediterranean	E04
M2GO	Male	Gonads	Argeles	Mediterranean	F04
M2G	Male	Gut	Argeles	Mediterranean	G04
M3P	Female	Pharynx	Argeles	Mediterranean	H04
M3GO	Female	Gonads	Argeles	Mediterranean	A05
M3G	Female	Gut	Argeles	Mediterranean	B05
M4P	Male	Pharynx	Argeles	Mediterranean	C05
M4GO	Male	Gonads	Argeles	Mediterranean	D05
M4G	Male	Gut	Argeles	Mediterranean	E05
M5P	Male	Pharynx	Argeles	Mediterranean	F05
M5GO	Male	Gonads	Argeles	Mediterranean	G05
M5G	Male	Gut	Argeles	Mediterranean	H05
M6P	Male	Pharynx	Leucate	Mediterranean	A06
M6GO	Male	Gonads	Leucate	Mediterranean	B06
M6G	Male	Gut	Leucate	Mediterranean	C06
M7GO	Male	Gonads	Leucate	Mediterranean	D06
M7G	Male	Gut	Leucate	Mediterranean	E06
M8P	Male	Pharynx	Leucate	Mediterranean	F06
M8GO	Male	Gonads	Leucate	Mediterranean	G06
M8G	Male	Gut	Leucate	Mediterranean	H06
M9P	Male	Pharynx	Leucate	Mediterranean	A07
M9GO	Male	Gonads	Leucate	Mediterranean	B07
M9G	Male	Gut	Leucate	Mediterranean	C07
F9M	Female	Muscle	Leucate	Mediterranean	D07
M2M	Male	Muscle	Argeles	Mediterranean	H12
M3M	Female	Muscle	Argeles	Mediterranean	F07
M4M	Male	Muscle	Argeles	Mediterranean	G07
M7M	Male	Muscle	Leucate	Mediterranean	H07
RU1C	Unknown	Cirri	Roscoff	Atlantic	A01
RU2M	Unknown	Muscle	Roscoff	Atlantic	B01
RU2C	Unknown	Cirri	Roscoff	Atlantic	C01
RF1P	Female	Pharynx	Roscoff	Atlantic	D01
RF1GO	Female	Gonads	Roscoff	Atlantic	E01
RF1G	Female	Gut	Roscoff	Atlantic	F01
RF2P	Female	Pharynx	Roscoff	Atlantic	G01
RF2GO	Female	Gonads	Roscoff	Atlantic	H01
RF2G	Female	Gut	Roscoff	Atlantic	A02
RF3P	Female	Pharynx	Roscoff	Atlantic	B02
RF3GO	Female	Gonads	Roscoff	Atlantic	C02
RF3G	Female	Gut	Roscoff	Atlantic	D02
RF4P	Female	Pharynx	Roscoff	Atlantic	E02
RF4GO	Female	Gonads	Roscoff	Atlantic	F02
RF4G	Female	Gut	Roscoff	Atlantic	G02
RF5P	Female	Pharynx	Roscoff	Atlantic	H02
RF5GO	Female	Gonads	Roscoff	Atlantic	A03
RF5G	Female	Gut	Roscoff	Atlantic	B03
RM1P	Male	Pharynx	Roscoff	Atlantic	C03
RM1GO	Male	Gonads	Roscoff	Atlantic	D03
RM1G	Male	Gut	Roscoff	Atlantic	E03
RM2P	Male	Pharynx	Roscoff	Atlantic	F03
RM2GO	Male	Gonads	Roscoff	Atlantic	G03
RM2G	Male	Gut	Roscoff	Atlantic	H03
RM3P	Male	Pharynx	Roscoff	Atlantic	A04
RM3GO	Male	Gonads	Roscoff	Atlantic	B04
RM3G	Male	Gut	Roscoff	Atlantic	C04
RM4P	Male	Pharynx	Roscoff	Atlantic	D04
RM4GO	Male	Gonads	Roscoff	Atlantic	E04
RM4G	Male	Gut	Roscoff	Atlantic	F04
RM5P	Male	Pharynx	Roscoff	Atlantic	G04
RM5GO	Male	Gonads	Roscoff	Atlantic	H04
RM5G	Male	Gut	Roscoff	Atlantic	A05
RM6P	Male	Pharynx	Roscoff	Atlantic	B05
RM6GO	Male	Gonads	Roscoff	Atlantic	C05
RM7P	Male	Pharynx	Roscoff	Atlantic	E05
RM7GO	Male	Gonads	Roscoff	Atlantic	F05
RM7G	Male	Gut	Roscoff	Atlantic	G05
RF6P	Female	Pharynx	Roscoff	Atlantic	H05
RF6GO	Female	Gonads	Roscoff	Atlantic	A06
RF6G	Female	Gut	Roscoff	Atlantic	B06
RM8P	Male	Pharynx	Roscoff	Atlantic	C06
RM8G	Male	Gut	Roscoff	Atlantic	D06
RF9P	Female	Pharynx	Roscoff	Atlantic	E06
RF9GO	Female	Gonads	Roscoff	Atlantic	F06
RM10P	Male	Pharynx	Roscoff	Atlantic	H06
RM10GO	Male	Gonads	Roscoff	Atlantic	A07
RM10G	Male	Gut	Roscoff	Atlantic	B07
RU5P	Male	Pharynx	Roscoff	Atlantic	C07
RU5GO	Male	Gonads	Roscoff	Atlantic	D07
RU5G	Male	Gut	Roscoff	Atlantic	E07
RF7P	Female	Pharynx	Roscoff	Atlantic	F07
RF7GO	Female	Gonads	Roscoff	Atlantic	G07
RF7G	Female	Gut	Roscoff	Atlantic	H07
RF8P	Female	Pharynx	Roscoff	Atlantic	A08
RF8GO	Female	Gonads	Roscoff	Atlantic	B08
RF8G	Female	Gut	Roscoff	Atlantic	C08
RF10P	Female	Pharynx	Roscoff	Atlantic	D08
RF10GO	Female	Gonads	Roscoff	Atlantic	E08
RF10G	Female	Gut	Roscoff	Atlantic	F08
RF1C	Female	Cirri	Roscoff	Atlantic	G08
RF1M	Female	Muscle	Roscoff	Atlantic	H08
RF2C	Female	Cirri	Roscoff	Atlantic	A09
RF2M	Female	Muscle	Roscoff	Atlantic	B09
RF3C	Female	Cirri	Roscoff	Atlantic	C09
RF4M	Female	Muscle	Roscoff	Atlantic	D09
RF5M	Female	Muscle	Roscoff	Atlantic	E09
RF6M	Female	Muscle	Roscoff	Atlantic	F09
RM1C	Male	Cirri	Roscoff	Atlantic	G09
RM1M	Male	Muscle	Roscoff	Atlantic	H09
RM2C	Male	Cirri	Roscoff	Atlantic	A10
RM2M	Male	Muscle	Roscoff	Atlantic	B10
RM3C	Male	Cirri	Roscoff	Atlantic	C10
RM4C	Male	Cirri	Roscoff	Atlantic	D10
RM4M	Male	Muscle	Roscoff	Atlantic	E10
RM5C	Male	Cirri	Roscoff	Atlantic	F10
RM5M	Male	Muscle	Roscoff	Atlantic	G10
RM6C	Male	Cirri	Roscoff	Atlantic	H10
RM6M	Male	Muscle	Roscoff	Atlantic	A11
RM7C	Male	Cirri	Roscoff	Atlantic	B11
RM7M	Male	Muscle	Roscoff	Atlantic	C11
RM8C	Male	Cirri	Roscoff	Atlantic	D11
RM8M	Male	Muscle	Roscoff	Atlantic	E11
RM10C	Male	Cirri	Roscoff	Atlantic	F11
RM10M	Male	Muscle	Roscoff	Atlantic	G11
RU5C	Male	Cirri	Roscoff	Atlantic	H11
RU5M	Male	Muscle	Roscoff	Atlantic	A12
RF7C	Female	Cirri	Roscoff	Atlantic	B12
RF7M	Female	Muscle	Roscoff	Atlantic	C12
