libraryName	laneNb	pipelineVersion	laneYield	clustersPF	percentPFClusters	percentQ30PF	meanScorePF
RU5D	2	2.2	4,005	13,260,406	100.00	91.04	35.43
RM3D	2	2.2	3,258	10,786,655	100.00	90.32	35.33
RM2D	2	2.2	3,833	12,693,288	100.00	90.43	35.32
RM1D	2	2.2	2,920	9,667,430	100.00	91.00	35.44
RF5D	2	2.2	3,959	13,109,602	100.00	91.17	35.46
RF4D	2	2.2	3,744	12,396,969	100.00	90.53	35.36
RF3D	2	2.2	3,814	12,628,208	100.00	91.48	35.52
RF2D	2	2.2	3,713	12,294,778	100.00	90.87	35.41
RF10D	2	2.2	3,718	12,311,469	100.00	91.77	35.57
RM10D	2	2.2	3,830	12,682,440	100.00	90.94	35.42
RM8D	2	2.2	3,618	11,981,630	100.00	91.41	35.50
RM7D	2	2.2	3,586	11,874,297	100.00	90.13	35.29
RM6D	2	2.2	3,808	12,609,269	100.00	90.87	35.40
RM5D	2	2.2	4,373	14,481,020	100.00	90.96	35.42
RM4D	2	2.2	3,736	12,370,362	100.00	91.29	35.48
F4D	2	2.2	3,387	11,214,596	100.00	91.85	35.59
M4D	2	2.2	3,195	10,580,946	100.00	90.56	35.36
M2D	2	2.2	3,228	10,688,383	100.00	90.53	35.36
RF8D	2	2.2	3,658	12,111,446	100.00	88.70	35.02
RF7D	2	2.2	3,414	11,305,670	100.00	90.43	35.35
RF6D	2	2.2	4,253	14,083,263	100.00	91.76	35.57
RF1D	2	2.2	3,750	12,418,456	100.00	91.08	35.44
M9D	2	2.2	3,781	12,519,179	100.00	91.88	35.59
M8D	2	2.2	3,926	13,001,293	100.00	91.68	35.56
M7D	2	2.2	4,184	13,854,791	100.00	88.83	35.01
M6D	2	2.2	4,124	13,654,060	100.00	91.22	35.46
M5D	2	2.2	3,848	12,741,302	100.00	91.28	35.49
F10D	2	2.2	3,978	13,173,486	100.00	90.19	35.28
F9D	2	2.2	3,874	12,829,212	100.00	92.13	35.64
F8D	2	2.2	4,247	14,063,932	100.00	91.56	35.53
F6D	2	2.2	4,079	13,506,173	100.00	91.47	35.52
F7D	2	2.2	4,749	15,725,778	100.00	91.15	35.45
M3D	2	2.2	3,865	12,798,414	100.00	90.42	35.34
F3D	2	2.2	3,802	12,590,599	100.00	91.28	35.50
F2D	2	2.2	4,541	15,035,708	100.00	92.19	35.65
F1D	2	2.2	4,264	14,118,436	100.00	90.80	35.38
RU5D	1	2.2	3,983	13,190,201	100.00	90.92	35.41
RM3D	1	2.2	3,238	10,721,973	100.00	90.18	35.30
RM2D	1	2.2	3,800	12,583,811	100.00	90.32	35.29
RM1D	1	2.2	2,905	9,619,986	100.00	90.90	35.42
RF5D	1	2.2	3,934	13,027,516	100.00	91.07	35.44
RF4D	1	2.2	3,716	12,305,820	100.00	90.36	35.32
RF3D	1	2.2	3,781	12,521,208	100.00	91.38	35.50
RF2D	1	2.2	3,699	12,247,535	100.00	90.75	35.39
RF10D	1	2.2	3,693	12,228,004	100.00	91.67	35.55
RM10D	1	2.2	3,815	12,630,984	100.00	90.86	35.40
RM8D	1	2.2	3,598	11,912,520	100.00	91.29	35.48
RM7D	1	2.2	3,562	11,793,529	100.00	89.98	35.26
RM6D	1	2.2	3,792	12,557,031	100.00	90.74	35.37
RM5D	1	2.2	4,317	14,293,661	100.00	90.82	35.39
RM4D	1	2.2	3,716	12,304,461	100.00	91.19	35.46
F4D	1	2.2	3,376	11,177,506	100.00	91.72	35.56
M4D	1	2.2	3,183	10,540,318	100.00	90.44	35.34
M2D	1	2.2	3,205	10,611,562	100.00	90.45	35.34
RF8D	1	2.2	3,643	12,061,804	100.00	88.59	34.99
RF7D	1	2.2	3,397	11,249,163	100.00	90.32	35.32
RF6D	1	2.2	4,228	14,000,893	100.00	91.64	35.54
RF1D	1	2.2	3,713	12,295,769	100.00	90.86	35.40
M9D	1	2.2	3,760	12,451,232	100.00	91.78	35.57
M8D	1	2.2	3,905	12,929,037	100.00	91.57	35.54
M7D	1	2.2	4,151	13,744,085	100.00	88.77	35.00
M6D	1	2.2	4,101	13,578,838	100.00	91.11	35.44
M5D	1	2.2	3,833	12,691,481	100.00	91.18	35.47
F10D	1	2.2	3,958	13,105,282	100.00	90.09	35.26
F9D	1	2.2	3,844	12,726,866	100.00	92.04	35.62
F8D	1	2.2	4,231	14,010,045	100.00	91.46	35.51
F6D	1	2.2	4,047	13,400,868	100.00	91.37	35.50
F7D	1	2.2	4,707	15,585,568	100.00	91.04	35.43
M3D	1	2.2	3,840	12,713,817	100.00	90.31	35.31
F3D	1	2.2	3,775	12,499,126	100.00	91.18	35.47
F2D	1	2.2	4,499	14,897,078	100.00	92.12	35.64
F1D	1	2.2	4,242	14,047,744	100.00	90.71	35.36
